Word
just
place
like
ordered
time
dont
good
restaurant
came
got
did
really
didnt
people
said
im
know
minutes
table
told
went
eat
going
took
say
try
make
wasnt
want
way
wanted
times
day
gave
great
ask
10
called
decided
ok
3
right
tried
thats
coming
person
away
hour
tasted_like
got_food
placed_order
1_star
taste_like
stopped_going
ive_seen
little_bit
im_really
food_came
im_sure
flavor_just
looked_like
look_like
decided_try
order_ordered
order_didnt
people_actually
said_yes
came_tried
understand_got
